"paper","invasive.species","native.species","Response","native.low.n","native.high.n","native.low.avg","native.sd.low","native.high.avg","native.sd.high","invasive.low.n","invasive.high.n","invasive.low.avg","invsive.sd.low","invaives.high.avg","invsive.sd.high"
1,"Centaurea maculosa","Pseudoregneria spicata","Photosynthesis",3,3,3.692,0.98,8.308,2.773,9,9,2.885,2.283,7.846,6.853
1,"Centaurea maculosa","Pseudoregneria spicata","WUE",5,5,4.377,1.574,4.279,0.786,9,9,4.525,1.25,3.689,1.112
1,"Centaurea maculosa","Pascopyron smithii","WUE",5,5,5.41,1.77,4.672,0.688,9,9,4.869,1.53,4.525,1.25
1,"Centaurea maculosa","Pascopyron smithii","Photosynthesis",5,5,7,3,10.5,0.6,9,9,7.846,6.853,10.5,0.653
2,"Tamarix chinensis","Populus fremontii","WUE",5,5,-26.22,0.814,-28.42,0.466,5,5,-24.74,1.408,-27.24,1.163
3,"Cytisus scoparius","Acacia verniciflua","Biomass",5,5,1.43,0.134,2.158,0.489,5,5,1.002,0.107,1.421,0.506
3,"Cytisus scoparius","Acacia verniciflua","Biomass",5,5,1.296,0.432,2.158,0.489,5,5,0.758,0.331,1.421,0.506
3,"Cytisus scoparius","hakea rostrata","Biomass",5,5,1.608,0.35,2.444,0.495,5,5,0.502,0.204,3.112,0.058
3,"Cytisus scoparius","hakea rostrata","Biomass",5,5,1.337,0.223,2.444,0.495,5,5,2.547,0.496,3.112,0.058
4,"Cynodon dactylon","Bothriochloa ischaemum","WUE",5,5,0.105,0.058,0.097,0.022,6,6,0.171,0.058,0.132,0.051
4,"Cynodon dactylon","Bothriochloa ischaemum","Photosynthesis",5,5,8.851,1.608,16.897,4.826,6,6,8.851,0.899,24.54,3.598
4,"Sorghum halepense","Chrysopogon gryllus","Photosynthesis",5,5,8.046,1.61,14.885,4.828,6,6,8.851,1.798,16.092,4.497
4,"Sorghum halepense","Chrysopogon gryllus","WUE",5,5,0.132,0.02,0.126,0.026,6,6,0.168,0.036,0.134,0.042
5,"Celastrus orbiculatus","Celastrus scandens","Shoot length",12,12,8.1,3.6,211.9,37.7,12,12,124.2,34.5,285.5,21.4
5,"Celastrus orbiculatus","Celastrus scandens","Biomass",12,12,0.3,0.2,13.6,4.2,12,12,2,0.6,26.9,3.9
5,"Celastrus orbiculatus","Celastrus scandens","SLA",12,12,386,62,351,71.2,12,12,657.2,78.3,289.2,49.2
6,"Celastrus orbiculatus","Celastrus scandens","Biomass",3,3,0.803,0.219,1.825,0.219,3,3,1.46,0.292,6.204,0.949
6,"Celastrus orbiculatus","Celastrus scandens","Biomass",3,3,0.584,0.146,0.803,0.219,3,3,1.898,0.219,2.409,0.292
7,"Holcus lanatus","Agrostis oregonensis","r:s",7,7,2.051,0.69,1.457,0.46,7,7,7.261,2.269,4.333,1.184
7,"Holcus lanatus","Agrostis oregonensis","Root biomass",7,7,9.008,2.873,13.056,4.225,7,7,33.946,15.718,35.963,10.31
7,"Holcus lanatus","Agrostis oregonensis","Biomass",7,7,13.769,2.873,22.969,4.225,7,7,38.642,15.718,44.898,10.31
7,"Festuca arundinacea","Festuca rubra","Root biomass",7,7,10.166,3.887,23.677,10.141,7,7,14.478,2.535,19.537,4.225
7,"Festuca arundinacea","Festuca rubra","r:s",7,7,2.539,1.216,3.03,0.756,7,7,2.884,0.559,2.06,0.362
7,"Festuca arundinacea","Festuca rubra","Biomass",7,7,14.339,3.887,31.633,10.141,7,7,19.695,2.535,29.385,4.225
7,"Phalaris aquatica","Nassella pulchra","Root biomass",7,7,3.715,2.029,6.918,2.535,7,7,7.855,1.352,13.929,5.239
7,"Phalaris aquatica","Nassella pulchra","r:s",7,7,1.613,0.526,1.315,0.427,7,7,2.648,0.329,2.285,1.118
7,"Phalaris aquatica","Nassella pulchra","Biomass",7,7,6.389,2.029,12.657,2.535,7,7,11.312,1.352,20.386,5.239
8,"Avena fauna","Artemisia californica","Biomass",5,5,0.07,0.02,1.18,0.42,5,5,0.17,0.1,0.99,0.42
8,"Avena fauna","Artemisia californica","N content",5,5,1.114,0.102,3.443,0.608,5,5,1.519,0,3.443,0.102
8,"Avena fauna","Artemisia californica","r:s",5,5,0.12,0.04,0.36,0.14,5,5,13.3,5.48,4.99,2.18
8,"Avena fauna","Artemisia californica","Biomass",5,5,0.08,0.04,1.73,0.36,5,5,0.03,0.04,1.37,0.68
8,"Avena fauna","Artemisia californica","N content",5,5,1.5,0.124,3.125,0.5,5,5,1.312,0,2.875,0.374
8,"Avena fauna","Artemisia californica","r:s",5,5,0.48,0.28,0.16,0.08,5,5,13.3,7.1,3.45,1.46
8,"Brassica genicuata","Encelia fatinosa","Biomass",5,5,0.05,0.02,0.45,0.12,5,5,0.25,0.06,1.37,0.52
